id ; popSize ; tournament ; mutation ; crossover ; preserveCommonLink ; swapMutation ; numOfCycles ; duration ; best ; av ; worst ; bestFitness ; bestResult
0 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 10 ; 139 ; 736.1536065290952 ; 1020.1632655004815 ; 1219.3490012573086 ; 736.1536065290952 ; 1.3584121454147582 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
1 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 120 ; 415 ; 839.1217517536348 ; 1034.0020001380115 ; 1189.9468287189438 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
2 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 230 ; 244 ; 837.055818193171 ; 993.8288950286243 ; 1162.162826765233 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
3 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 340 ; 227 ; 794.0925452559827 ; 976.6572335369924 ; 1179.2535173479753 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
4 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 450 ; 208 ; 822.6048306611603 ; 976.9513068140424 ; 1201.4846950924746 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
5 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 560 ; 158 ; 839.1217517536348 ; 978.1110490429955 ; 1225.269037357298 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
6 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 670 ; 121 ; 788.3652980505615 ; 965.5614513419426 ; 1160.8039722587991 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
7 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 780 ; 167 ; 749.6431765967503 ; 937.8848621051676 ; 1160.8039722587991 ; 736.1536065290952 ; 1.0 ; [Berlin, Sotschi, Kiew, Vilnius, Prag, Kaliningrad, Riga, Wolgograd, Nowgorod, Moskau, Saransk, Samara, Rostow, StPetersburg, Kischinau, Budapest, Wien, Warschau, Mins, Kasan, Jekaterinenburg, Berlin]
8 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 890 ; 164 ; 674.1613052072596 ; 963.5247371925202 ; 1193.4377541067556 ; 674.1613052072596 ; 1.0919547011123356 ; [Berlin, Budapest, Wien, Kaliningrad, Vilnius, StPetersburg, Kischinau, Kiew, Warschau, Riga, Samara, Moskau, Nowgorod, Jekaterinenburg, Saransk, Kasan, Mins, Rostow, Wolgograd, Sotschi, Prag, Berlin]
9 ; 25 ; 2 ; 1.0 ; 1 ; true ; false ; 1000 ; 145 ; 690.1733506153214 ; 856.5926471945364 ; 1141.5737671174945 ; 674.1613052072596 ; 1.0 ; [Berlin, Budapest, Wien, Kaliningrad, Vilnius, StPetersburg, Kischinau, Kiew, Warschau, Riga, Samara, Moskau, Nowgorod, Jekaterinenburg, Saransk, Kasan, Mins, Rostow, Wolgograd, Sotschi, Prag, Berlin]
